Daily_cases;Date;Open;High;Low;Close;Adj Close;Volume;Index;Name;Country_Name;Country_Code;WHO_region
6;14.05.2020;10894.17;10894.17;10777.46;10780.88;10780.88;3054300;TWII;TSEC weighted index;Taiwan;CN;WPRO
6;14.05.2020;11026.71;11047.38;10955.54;10962.15;10962.15;1367700;399001.SZ;Shenzhen Component;China;CN;WPRO
6;14.05.2020;2887.06;2887.06;2869.18;2870.34;2870.34;197800;000001.SS;SSE Composite Index;China;CN;WPRO
6;14.05.2020;24038.07;24081.19;23790.27;23829.74;23829.74;1697720800;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
7;13.05.2020;10861.01;10938.27;10828.93;10938.27;10938.27;2677400;TWII;TSEC weighted index;Taiwan;CN;WPRO
7;13.05.2020;10978.31;11096.62;10954.69;11074.59;11074.59;1274100;399001.SZ;Shenzhen Component;China;CN;WPRO
7;13.05.2020;2882.96;2900.26;2875.53;2898.05;2898.05;185100;000001.SS;SSE Composite Index;China;CN;WPRO
7;13.05.2020;24111.67;24320.2;23979.37;24180.3;24180.3;1359038500;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
1;12.05.2020;10974.51;10974.51;10854.51;10879.47;10879.47;3047800;TWII;TSEC weighted index;Taiwan;CN;WPRO
1;12.05.2020;10972.05;11018.93;10871.61;11015.56;11015.56;1328100;399001.SZ;Shenzhen Component;China;CN;WPRO
1;12.05.2020;2894.62;2897.9;2871.23;2891.56;2891.56;197100;000001.SS;SSE Composite Index;China;CN;WPRO
1;12.05.2020;24358;24411.04;24136.2;24245.68;24245.68;1479628600;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
20;11.05.2020;10942.18;11039.11;10942.18;11013.26;11013.26;3370600;TWII;TSEC weighted index;Taiwan;CN;WPRO
20;11.05.2020;11053.82;11096.28;10902.6;10969.28;10969.28;1568100;399001.SZ;Shenzhen Component;China;CN;WPRO
20;11.05.2020;2901.57;2914.28;2884.38;2894.8;2894.8;225100;000001.SS;SSE Composite Index;China;CN;WPRO
20;11.05.2020;24470.18;24766.83;24470.18;24602.06;24602.06;1458200000;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
6;08.05.2020;10883.22;10970.7;10883.22;10901.42;10901.42;3169900;TWII;TSEC weighted index;Taiwan;CN;WPRO
6;08.05.2020;10923.61;11054.31;10904.88;11001.58;11001.58;1546500;399001.SZ;Shenzhen Component;China;CN;WPRO
6;08.05.2020;2882.71;2903.8;2879.2;2895.34;2895.34;226800;000001.SS;SSE Composite Index;China;CN;WPRO
6;08.05.2020;24193.36;24263.73;24097.12;24230.17;24230.17;1274113200;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
3;07.05.2020;10778.53;10890.87;10775.16;10842.92;10842.92;2849600;TWII;TSEC weighted index;Taiwan;CN;WPRO
3;07.05.2020;10899.92;10926.83;10832.09;10863.29;10863.29;1485300;399001.SZ;Shenzhen Component;China;CN;WPRO
3;07.05.2020;2876.47;2882.02;2864.58;2871.52;2871.52;226700;000001.SS;SSE Composite Index;China;CN;WPRO
3;07.05.2020;24120.81;24120.81;23913.5;23980.63;23980.63;1317060000;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
2;06.05.2020;10771.09;10828.73;10708.1;10774.98;10774.98;3137600;TWII;TSEC weighted index;Taiwan;CN;WPRO
2;06.05.2020;10618.17;10884.34;10613.89;10883.22;10883.22;1680000;399001.SZ;Shenzhen Component;China;CN;WPRO
2;06.05.2020;2831.63;2879.26;2830.65;2878.14;2878.14;249800;000001.SS;SSE Composite Index;China;CN;WPRO
2;06.05.2020;24137.48;24137.48;24137.48;24137.48;24137.48;;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
3;05.05.2020;10756.95;10833.53;10735.01;10774.61;10774.61;2817200;TWII;TSEC weighted index;Taiwan;CN;WPRO
3;05.05.2020;23755.77;23928.45;23697.88;23868.66;23868.66;1332967300;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
8;04.05.2020;10781.51;10781.51;10658.5;10720.48;10720.48;3113100;TWII;TSEC weighted index;Taiwan;CN;WPRO
8;04.05.2020;23895.11;23897.53;23584.95;23613.8;23613.8;2556774000;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
4;30.04.2020;10826.26;11012.78;10826.26;10992.14;10992.14;3909100;TWII;TSEC weighted index;Taiwan;CN;WPRO
4;30.04.2020;10575.52;10751.75;10575.52;10721.78;10721.78;1596700;399001.SZ;Shenzhen Component;China;CN;WPRO
4;30.04.2020;2832.38;2865.59;2832.38;2860.08;2860.08;242500;000001.SS;SSE Composite Index;China;CN;WPRO
22;29.04.2020;10656.4;10794.83;10656.4;10772.22;10772.22;3529100;TWII;TSEC weighted index;Taiwan;CN;WPRO
22;29.04.2020;10460.99;10586.57;10449.37;10514.17;10514.17;1186200;399001.SZ;Shenzhen Component;China;CN;WPRO
22;29.04.2020;2801.38;2831.76;2800.74;2822.44;2822.44;202100;000001.SS;SSE Composite Index;China;CN;WPRO
22;29.04.2020;24786.02;24855.47;24549.62;24643.59;24643.59;1648009000;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
6;28.04.2020;10580.25;10620.52;10537.71;10616.06;10616.06;3260300;TWII;TSEC weighted index;Taiwan;CN;WPRO
6;28.04.2020;10477.76;10547.75;10194.15;10501.15;10501.15;1590300;399001.SZ;Shenzhen Component;China;CN;WPRO
6;28.04.2020;2819.99;2821.75;2758.25;2810.02;2810.02;253900;000001.SS;SSE Composite Index;China;CN;WPRO
6;28.04.2020;24401.12;24582.66;24176.88;24575.96;24575.96;1687557300;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
3;27.04.2020;10407.49;10578.96;10407.49;10567.27;10567.27;3281100;TWII;TSEC weighted index;Taiwan;CN;WPRO
3;27.04.2020;10449.13;10531.39;10367.29;10452.17;10452.17;1236200;399001.SZ;Shenzhen Component;China;CN;WPRO
3;27.04.2020;2812.24;2832.67;2802.96;2815.5;2815.5;210100;000001.SS;SSE Composite Index;China;CN;WPRO
3;27.04.2020;24030.66;24318.81;24030.54;24280.14;24280.14;1592713000;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
9;24.04.2020;10367.97;10386.93;10324.2;10347.36;10347.36;2400100;TWII;TSEC weighted index;Taiwan;CN;WPRO
9;24.04.2020;10565.09;10577.03;10388.66;10423.46;10423.46;1352700;399001.SZ;Shenzhen Component;China;CN;WPRO
9;24.04.2020;2834.94;2834.94;2802.5;2808.53;2808.53;235200;000001.SS;SSE Composite Index;China;CN;WPRO
9;24.04.2020;23844.55;23957.17;23730.49;23831.33;23831.33;1301664900;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
15;23.04.2020;10370.13;10462.7;10294.88;10366.51;10366.51;2633300;TWII;TSEC weighted index;Taiwan;CN;WPRO
15;23.04.2020;10657.4;10667.01;10557.94;10564.05;10564.05;1421400;399001.SZ;Shenzhen Component;China;CN;WPRO
15;23.04.2020;2850.51;2853.64;2835.9;2838.5;2838.5;248800;000001.SS;SSE Composite Index;China;CN;WPRO
15;23.04.2020;23983.65;24107.88;23806.3;23977.32;23977.32;1814344800;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
35;22.04.2020;10256.11;10310.85;10140.09;10307.74;10307.74;2531000;TWII;TSEC weighted index;Taiwan;CN;WPRO
35;22.04.2020;10424.45;10617.19;10409.85;10617.19;10617.19;1297100;399001.SZ;Shenzhen Component;China;CN;WPRO
35;22.04.2020;2814.07;2843.98;2808.48;2843.98;2843.98;217300;000001.SS;SSE Composite Index;China;CN;WPRO
35;22.04.2020;23540.54;23939.29;23483.31;23893.36;23893.36;1668362400;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
14;21.04.2020;10544.8;10544.8;10278.95;10288.42;10288.42;3392700;TWII;TSEC weighted index;Taiwan;CN;WPRO
14;21.04.2020;10577.72;10577.72;10394.44;10506.86;10506.86;1464300;399001.SZ;Shenzhen Component;China;CN;WPRO
14;21.04.2020;2842.24;2842.24;2808.02;2827.01;2827.01;233200;000001.SS;SSE Composite Index;China;CN;WPRO
14;21.04.2020;24247.84;24247.84;23676.13;23793.55;23793.55;2160661700;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
16;20.04.2020;10612.45;10637.64;10542.96;10586.71;10586.71;2298700;TWII;TSEC weighted index;Taiwan;CN;WPRO
16;20.04.2020;10553.55;10621.5;10523.59;10621.5;10621.5;1421200;399001.SZ;Shenzhen Component;China;CN;WPRO
16;20.04.2020;2840.41;2852.99;2833.26;2852.55;2852.55;211800;000001.SS;SSE Composite Index;China;CN;WPRO
16;20.04.2020;24503.56;24503.56;24225.55;24330.02;24330.02;1375091600;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
352;17.04.2020;10554.55;10710.15;10552.58;10597.04;10597.04;3725200;TWII;TSEC weighted index;Taiwan;CN;WPRO
